user_id,restaurant_id,interaction_type,weight
1,286,view,1
1,230,view,1
1,115,click,3
1,65,view,1
1,80,view,1
1,147,view,1
1,273,order,5
1,78,view,1
1,262,view,1
1,118,order,5
1,83,click,3
1,195,order,5
1,74,view,1
1,206,order,5
1,293,click,3
2,41,click,3
2,136,order,5
2,66,view,1
2,94,click,3
2,239,view,1
2,169,view,1
2,268,view,1
2,13,click,3
2,34,view,1
2,142,click,3
2,88,view,1
2,294,order,5
2,68,order,5
2,188,view,1
2,190,view,1
2,119,view,1
2,245,order,5
2,48,view,1
2,139,click,3
3,249,view,1
3,15,click,3
3,135,view,1
3,107,click,3
3,160,view,1
3,106,click,3
3,110,order,5
3,116,view,1
3,221,order,5
3,207,order,5
3,86,order,5
3,213,view,1
3,234,order,5
3,32,view,1
3,155,view,1
4,37,click,3
4,31,view,1
4,215,view,1
4,89,view,1
4,266,order,5
4,221,click,3
4,190,view,1
4,84,order,5
4,195,view,1
4,291,view,1
4,35,view,1
4,93,order,5
4,58,click,3
4,103,click,3
4,212,view,1
4,128,view,1
5,19,view,1
5,11,click,3
5,113,view,1
5,158,view,1
5,116,order,5
5,161,view,1
5,209,order,5
5,201,view,1
5,107,order,5
5,176,order,5
5,179,click,3
5,101,view,1
5,228,click,3
5,193,click,3
5,21,order,5
5,145,view,1
5,272,view,1
5,16,view,1
5,270,click,3
6,12,order,5
6,54,order,5
6,127,order,5
6,225,order,5
6,150,click,3
6,246,order,5
6,279,order,5
6,250,view,1
7,156,view,1
7,266,view,1
7,168,view,1
7,98,click,3
7,187,order,5
7,177,click,3
7,23,click,3
7,100,view,1
7,74,order,5
7,251,order,5
7,250,view,1
7,118,order,5
7,209,view,1
7,29,order,5
7,273,order,5
7,157,click,3
7,72,view,1
8,175,order,5
8,26,view,1
8,204,view,1
8,257,click,3
8,3,click,3
8,137,view,1
8,60,order,5
8,156,click,3
8,248,click,3
9,104,view,1
9,233,order,5
9,64,view,1
9,176,click,3
9,279,view,1
9,170,view,1
9,44,order,5
9,172,view,1
9,33,view,1
9,150,order,5
9,56,click,3
9,196,click,3
9,5,view,1
10,74,order,5
10,299,click,3
10,262,click,3
10,58,view,1
10,287,view,1
10,152,click,3
10,187,view,1
10,52,view,1
10,83,view,1
10,182,click,3
10,206,order,5
10,37,view,1
10,63,click,3
10,62,view,1
10,100,view,1
10,48,click,3
11,101,view,1
11,277,view,1
11,137,view,1
11,95,click,3
11,292,click,3
11,103,view,1
11,90,view,1
11,193,view,1
11,6,order,5
11,190,view,1
12,18,order,5
12,262,view,1
12,241,click,3
12,187,click,3
12,83,order,5
12,266,order,5
12,74,click,3
12,198,view,1
12,48,view,1
12,287,order,5
12,181,order,5
12,201,order,5
13,158,click,3
13,78,view,1
13,146,view,1
13,281,order,5
13,194,click,3
13,96,view,1
13,111,view,1
13,16,click,3
13,8,view,1
13,79,view,1
13,209,click,3
13,230,click,3
13,152,order,5
13,17,view,1
13,271,view,1
13,81,click,3
13,9,click,3
14,255,view,1
14,193,click,3
14,122,view,1
14,156,order,5
14,191,click,3
14,244,click,3
14,13,order,5
14,8,order,5
14,40,order,5
14,137,view,1
14,149,view,1
14,49,click,3
14,35,view,1
14,278,click,3
14,184,order,5
15,23,view,1
15,182,click,3
15,273,click,3
15,208,view,1
15,118,click,3
15,197,order,5
15,258,order,5
15,178,view,1
15,255,view,1
15,170,click,3
15,150,click,3
15,181,click,3
15,282,click,3
15,168,order,5
15,171,view,1
15,152,click,3
15,230,view,1
15,100,view,1
15,198,click,3
16,224,view,1
16,204,view,1
16,244,order,5
16,271,view,1
16,148,view,1
16,96,click,3
16,217,view,1
16,152,view,1
16,4,view,1
16,282,click,3
16,98,view,1
16,300,view,1
17,9,view,1
17,182,order,5
17,175,order,5
17,102,view,1
17,127,view,1
17,138,view,1
17,56,order,5
17,79,click,3
17,119,view,1
17,154,order,5
17,281,view,1
17,145,view,1
17,209,view,1
17,216,click,3
17,181,click,3
17,135,view,1
17,169,view,1
18,256,view,1
18,171,click,3
18,80,view,1
18,221,click,3
18,166,order,5
18,58,view,1
18,120,order,5
18,195,view,1
18,229,view,1
18,83,click,3
18,259,click,3
18,118,view,1
18,70,click,3
18,251,view,1
19,87,view,1
19,111,click,3
19,217,click,3
19,171,click,3
19,125,order,5
19,196,click,3
19,272,order,5
19,243,order,5
19,249,view,1
19,48,view,1
19,150,view,1
19,1,view,1
19,233,click,3
19,66,view,1
19,50,view,1
19,170,view,1
19,158,click,3
19,56,click,3
19,45,order,5
19,250,view,1
20,12,click,3
20,55,view,1
20,265,click,3
20,179,view,1
20,264,order,5
20,289,order,5
20,16,view,1
20,220,click,3
20,64,click,3
20,286,order,5
20,151,view,1
20,274,click,3
20,194,order,5
20,49,view,1
20,181,click,3
20,4,view,1
20,10,click,3
20,214,view,1
20,51,order,5
20,172,view,1
21,40,view,1
21,169,click,3
21,53,click,3
21,170,view,1
21,133,order,5
21,46,order,5
21,197,view,1
21,201,view,1
21,68,view,1
21,66,view,1
21,190,order,5
21,218,click,3
21,167,view,1
21,236,view,1
21,294,view,1
21,106,view,1
21,63,view,1
22,181,view,1
22,264,click,3
22,17,view,1
22,179,view,1
22,45,click,3
22,165,view,1
22,293,order,5
22,257,view,1
22,250,view,1
22,198,view,1
22,202,order,5
22,145,click,3
22,163,view,1
22,81,view,1
22,161,click,3
23,138,order,5
23,117,order,5
23,45,view,1
23,272,click,3
23,179,click,3
23,7,view,1
23,170,click,3
23,33,click,3
23,250,click,3
23,101,view,1
23,186,order,5
23,289,view,1
23,273,click,3
23,104,view,1
23,265,view,1
23,60,view,1
23,226,view,1
23,36,click,3
24,150,click,3
24,35,view,1
24,68,order,5
24,227,click,3
24,234,order,5
24,28,click,3
24,66,order,5
24,19,click,3
24,149,order,5
24,60,view,1
24,237,view,1
24,187,click,3
24,196,click,3
24,6,click,3
24,273,click,3
24,132,click,3
25,179,view,1
25,207,order,5
25,202,view,1
25,1,order,5
25,12,view,1
25,204,view,1
25,264,view,1
25,216,view,1
25,196,view,1
25,208,view,1
25,224,view,1
25,220,view,1
25,222,order,5
25,16,view,1
25,13,view,1
25,112,view,1
25,164,order,5
25,244,order,5
25,91,order,5
26,250,order,5
26,55,view,1
26,195,view,1
26,133,view,1
26,45,order,5
26,266,view,1
26,106,click,3
26,279,view,1
26,170,view,1
26,141,click,3
26,236,click,3
26,203,order,5
27,84,view,1
27,98,view,1
27,122,click,3
27,55,order,5
27,8,order,5
27,193,view,1
27,3,view,1
27,244,order,5
27,269,click,3
27,198,click,3
27,181,view,1
27,192,view,1
27,283,order,5
27,99,click,3
27,184,view,1
27,240,order,5
27,156,click,3
27,190,order,5
27,208,view,1
27,85,view,1
28,241,view,1
28,100,view,1
28,83,view,1
28,168,view,1
28,23,view,1
28,93,view,1
28,120,view,1
28,178,click,3
28,262,click,3
28,174,view,1
28,102,order,5
28,29,view,1
28,68,order,5
28,179,order,5
28,227,view,1
28,80,view,1
28,110,order,5
28,115,view,1
28,287,view,1
28,72,click,3
29,67,view,1
29,46,click,3
29,196,click,3
29,141,click,3
29,1,view,1
29,44,view,1
29,161,click,3
29,220,click,3
29,243,order,5
29,54,click,3
29,104,order,5
29,55,order,5
29,70,click,3
29,107,view,1
29,153,view,1
29,202,click,3
29,264,click,3
29,118,view,1
29,80,click,3
29,293,view,1
30,100,view,1
30,107,view,1
30,46,view,1
30,208,view,1
30,141,view,1
30,181,view,1
30,152,order,5
30,239,click,3
30,86,order,5
30,286,view,1
30,145,order,5
30,98,view,1
30,24,view,1
30,179,order,5
30,105,view,1
30,265,view,1
30,180,order,5
30,81,click,3
31,141,order,5
31,264,click,3
31,202,view,1
31,145,order,5
31,270,view,1
31,179,view,1
31,66,view,1
31,208,view,1
31,124,view,1
32,274,view,1
32,161,view,1
32,47,order,5
32,197,view,1
32,9,click,3
32,234,view,1
32,169,view,1
32,188,view,1
32,118,click,3
32,94,order,5
32,149,view,1
32,264,order,5
32,63,view,1
32,111,click,3
32,66,click,3
33,41,view,1
33,238,order,5
33,187,view,1
33,169,order,5
33,221,click,3
33,262,view,1
33,21,click,3
33,195,order,5
33,100,click,3
33,178,view,1
33,172,click,3
33,168,click,3
33,86,view,1
33,251,order,5
34,96,click,3
34,224,view,1
34,9,view,1
34,78,order,5
34,292,click,3
34,209,view,1
34,189,view,1
34,271,view,1
34,15,view,1
34,160,view,1
34,97,view,1
34,148,order,5
34,111,order,5
35,195,click,3
35,189,view,1
35,281,click,3
35,151,view,1
35,259,view,1
35,111,view,1
35,201,view,1
35,223,click,3
35,271,view,1
35,78,view,1
35,76,click,3
35,176,view,1
35,299,view,1
36,178,order,5
36,187,order,5
36,230,click,3
36,214,order,5
36,85,view,1
36,23,order,5
36,256,order,5
36,258,order,5
37,17,view,1
37,29,order,5
37,140,order,5
37,269,view,1
37,113,order,5
37,138,view,1
37,206,view,1
37,100,view,1
37,144,view,1
37,129,order,5
37,9,click,3
37,270,view,1
37,296,order,5
37,3,order,5
37,242,order,5
37,193,order,5
38,279,view,1
38,10,order,5
38,170,view,1
38,218,click,3
38,33,order,5
38,191,click,3
38,243,click,3
38,127,view,1
38,46,view,1
38,233,view,1
