restaurant_id,restaurant_name,cuisine,area,price_level,rating,delivery_time_min,ambience,dietary_type,tags
1,Restaurant 001,North Indian,East,3,4.66,33,Casual,Vegetarian,North Indian East Casual Vegetarian price_3
2,Restaurant 002,Cafe,Riverside,1,3.99,34,Premium,Vegetarian,Cafe Riverside Premium Vegetarian price_1
3,Restaurant 003,Biryani,Central,2,4.26,35,Cafe,Mixed,Biryani Central Cafe Mixed price_2
4,Restaurant 004,Mexican,Riverside,2,3.02,37,Family,Vegetarian,Mexican Riverside Family Vegetarian price_2
5,Restaurant 005,Mexican,Tech Park,3,3.58,44,Casual,Vegetarian,Mexican Tech Park Casual Vegetarian price_3
6,Restaurant 006,Desserts,North,2,3.97,24,Quick Bites,Vegetarian,Desserts North Quick Bites Vegetarian price_2
7,Restaurant 007,North Indian,East,2,3.62,23,Casual,Vegetarian,North Indian East Casual Vegetarian price_2
8,Restaurant 008,Biryani,Tech Park,2,4.42,24,Family,Vegetarian,Biryani Tech Park Family Vegetarian price_2
9,Restaurant 009,Chinese,East,1,5.0,38,Premium,Vegan Friendly,Chinese East Premium Vegan Friendly price_1
10,Restaurant 010,North Indian,North,1,3.57,47,Quick Bites,Vegetarian,North Indian North Quick Bites Vegetarian price_1
11,Restaurant 011,Thai,Market,2,3.72,31,Quick Bites,Mixed,Thai Market Quick Bites Mixed price_2
12,Restaurant 012,Fast Food,Market,2,4.21,15,Cafe,Vegan Friendly,Fast Food Market Cafe Vegan Friendly price_2
13,Restaurant 013,Cafe,North,1,4.83,18,Fine Dining,Vegetarian,Cafe North Fine Dining Vegetarian price_1
14,Restaurant 014,Cafe,South,2,3.55,27,Casual,Mixed,Cafe South Casual Mixed price_2
15,Restaurant 015,Cafe,South,2,4.21,29,Premium,Mixed,Cafe South Premium Mixed price_2
16,Restaurant 016,Cafe,Market,2,4.92,31,Casual,Mixed,Cafe Market Casual Mixed price_2
17,Restaurant 017,Thai,University,2,3.36,35,Casual,Vegetarian,Thai University Casual Vegetarian price_2
18,Restaurant 018,South Indian,University,3,3.52,32,Family,Vegetarian,South Indian University Family Vegetarian price_3
19,Restaurant 019,Desserts,Airport,2,3.91,45,Quick Bites,Vegetarian,Desserts Airport Quick Bites Vegetarian price_2
20,Restaurant 020,Mexican,University,4,3.87,28,Fine Dining,Mixed,Mexican University Fine Dining Mixed price_4
21,Restaurant 021,Thai,East,4,4.47,26,Cafe,Vegan Friendly,Thai East Cafe Vegan Friendly price_4
22,Restaurant 022,Italian,North,2,4.21,40,Quick Bites,Vegan Friendly,Italian North Quick Bites Vegan Friendly price_2
23,Restaurant 023,South Indian,Market,2,3.3,20,Cafe,Vegetarian,South Indian Market Cafe Vegetarian price_2
24,Restaurant 024,Fast Food,Airport,2,4.33,39,Family,Mixed,Fast Food Airport Family Mixed price_2
25,Restaurant 025,Cafe,Airport,3,3.84,36,Fine Dining,Vegetarian,Cafe Airport Fine Dining Vegetarian price_3
26,Restaurant 026,Biryani,South,2,4.67,34,Fine Dining,Vegan Friendly,Biryani South Fine Dining Vegan Friendly price_2
27,Restaurant 027,Mexican,South,3,3.82,51,Casual,Vegetarian,Mexican South Casual Vegetarian price_3
28,Restaurant 028,Desserts,Central,2,3.81,29,Premium,Vegan Friendly,Desserts Central Premium Vegan Friendly price_2
29,Restaurant 029,Thai,North,2,4.34,56,Cafe,Mixed,Thai North Cafe Mixed price_2
30,Restaurant 030,Mexican,Tech Park,2,4.44,33,Premium,Vegetarian,Mexican Tech Park Premium Vegetarian price_2
31,Restaurant 031,Mexican,Tech Park,3,4.3,22,Fine Dining,Vegetarian,Mexican Tech Park Fine Dining Vegetarian price_3
32,Restaurant 032,Chinese,East,1,3.34,36,Fine Dining,Mixed,Chinese East Fine Dining Mixed price_1
33,Restaurant 033,North Indian,East,3,4.34,24,Premium,Vegetarian,North Indian East Premium Vegetarian price_3
34,Restaurant 034,Thai,Riverside,3,3.63,27,Casual,Mixed,Thai Riverside Casual Mixed price_3
35,Restaurant 035,Desserts,West,1,4.21,39,Premium,Vegan Friendly,Desserts West Premium Vegan Friendly price_1
36,Restaurant 036,North Indian,Riverside,2,3.46,41,Family,Mixed,North Indian Riverside Family Mixed price_2
37,Restaurant 037,Desserts,Airport,1,4.3,29,Premium,Vegetarian,Desserts Airport Premium Vegetarian price_1
38,Restaurant 038,Desserts,East,3,3.74,45,Quick Bites,Vegetarian,Desserts East Quick Bites Vegetarian price_3
39,Restaurant 039,Chinese,South,1,3.52,47,Premium,Vegetarian,Chinese South Premium Vegetarian price_1
40,Restaurant 040,Biryani,Airport,4,4.42,49,Family,Vegan Friendly,Biryani Airport Family Vegan Friendly price_4
